Variable ,obs,Mean,Std. Dev.,Max,Min
vote,198,26.75263,21.75681,101.06,3.01
debut,198,0.24747,0.43264,1,0
center,198,0.15657,0.36431,1,0
search,198,1.38502,3.06465,21.93274,0.0032
age,198,18.0808,2.79476,24,13
beauty,198,0.22222,0.41679,1,0
skill1,198,3.32323,1.34299,5,1
skill2,198,3.10606,1.41201,5,1
first_rank,198,0.19697,0.39872,1,0
reputation,198,0.5303,0.50035,1,0
korean,198,0.63131,0.48367,1,0
