number,season,stage,vote,debut,center,search,age,beauty,skill1,skill2,first_rank,reputation,korean
173,2,1,7.33,0,0,0.00636,25,0,1,1,0,1,1
174,2,1,7.30,0,1,0.02715,17,0,2,2,0,0,1
175,2,1,7.23,0,0,0.06057,25,0,2,4,0,0,1
176,2,1,7.13,0,0,0.04317,22,0,3,3,0,0,1
177,2,1,7.00,0,0,0.01172,23,0,2,4,0,0,1
178,2,1,6.91,0,0,0.01611,20,0,4,2,0,0,1
179,2,1,6.83,0,1,0.03363,23,0,2,3,0,0,1
180,2,1,6.80,0,0,0.06033,24,0,2,1,0,1,1
181,2,1,6.80,0,0,0.04789,25,0,2,3,0,0,1
182,2,1,6.77,0,0,0.00728,19,0,1,3,0,0,1
183,2,1,6.74,0,1,0.03703,24,0,1,2,0,0,1
184,2,1,6.65,0,0,0.01183,23,0,3,2,0,0,1
185,2,1,6.64,0,0,0.02748,20,0,4,3,0,0,1
186,2,1,6.44,0,0,0.01254,21,0,1,1,0,0,1
187,2,1,6.42,0,0,0.03433,25,0,3,3,0,0,1
188,2,1,6.17,0,0,0.03375,22,0,1,3,0,0,1
189,2,1,6.04,0,0,0.00713,21,0,2,1,0,0,1
190,2,1,5.78,0,0,0.00988,21,0,1,4,0,0,1
191,2,1,5.60,0,0,0.01129,20,0,1,1,0,0,1
192,2,1,5.27,0,0,0.00908,20,0,3,4,0,0,1
193,2,1,5.11,0,1,0.00751,19,0,1,4,0,0,1
194,3,1,53.96,1,1,2.92280,13,1,4,4,1,0,1
195,3,1,53.23,1,0,4.79838,20,1,5,5,1,1,0
196,3,1,28.92,1,0,0.58018,16,0,5,1,1,1,1
197,3,1,39.05,1,0,0.17685,18,0,5,4,1,0,1
198,3,1,60.78,1,0,1.41943,14,1,4,5,1,0,1
199,3,1,44.97,1,0,5.07937,16,0,1,5,0,1,0
200,3,1,50.76,1,0,0.76395,22,1,5,3,0,1,1
201,3,1,22.27,1,0,0.10473,18,1,1,1,0,0,1
202,3,1,33.37,1,0,0.17920,16,0,3,5,0,1,0
203,3,1,17.94,1,0,0.03039,17,1,4,4,0,0,1
204,3,1,30.73,1,0,0.09576,17,1,4,3,0,0,1
205,3,1,36.82,1,0,0.41139,18,0,5,5,0,1,1
206,3,1,8.91,0,1,0.05467,15,0,2,4,0,0,1
207,3,1,63.35,0,0,2.56224,23,1,5,5,1,1,1
208,3,1,25.66,0,0,0.30290,24,0,2,2,0,1,0
209,3,1,28.95,0,1,0.15803,20,0,4,5,0,1,0
210,3,1,36.24,0,0,0.41394,22,0,5,4,0,1,0
211,3,1,16.09,0,0,0.14313,17,0,2,2,0,1,0
212,3,1,10.92,0,0,0.01703,21,0,5,2,0,0,1
213,3,1,29.79,0,0,0.16322,20,1,4,2,1,1,0
214,3,1,13.94,0,0,0.25872,15,0,3,5,0,0,1
215,3,1,12.09,0,0,0.13464,21,0,2,3,0,1,0
216,3,1,16.67,0,0,0.03702,14,0,5,3,0,0,1
217,3,1,46.11,0,0,1.06734,17,0,1,3,0,1,0
218,3,1,29.69,0,0,0.91215,20,0,4,1,1,1,1
219,3,1,24.73,0,1,0.08538,16,1,3,1,0,0,1
220,3,1,26.26,0,0,0.06325,18,0,4,5,0,1,1
221,3,1,40.49,0,1,0.23266,17,1,4,3,1,0,1
222,3,1,17.82,0,0,0.03436,18,0,5,5,0,0,1
223,3,1,23.58,0,0,0.16638,19,0,3,2,1,1,1
224,3,1,22.04,0,0,0.09506,17,0,3,5,0,0,1
225,3,1,17.57,0,0,0.08100,18,0,3,4,0,0,1
226,3,1,22.84,0,0,0.62315,14,0,1,1,0,1,0
227,3,1,17.70,0,0,0.08217,21,0,3,4,1,1,0
228,3,1,7.35,0,0,0.01609,20,0,4,2,0,0,1
229,3,1,14.91,0,0,0.05656,21,0,3,4,0,1,1
230,3,1,12.77,0,0,0.02931,23,0,2,3,0,1,0
231,3,1,17.50,0,0,0.07061,23,0,2,2,0,1,0
232,3,1,6.45,0,0,0.03378,14,0,2,1,0,1,0
233,3,1,18.93,0,1,0.11293,23,0,4,2,0,1,0
234,3,1,31.44,0,0,0.59825,18,0,3,1,0,1,0
235,3,1,9.65,0,0,0.08948,18,0,1,2,0,1,0
236,3,1,7.59,0,0,0.16740,14,0,3,4,0,0,1
237,3,1,6.99,0,0,0.04584,15,1,3,3,0,0,1
238,3,1,17.80,0,0,0.13779,18,0,1,1,0,1,0
239,3,1,6.70,0,1,0.03326,23,0,4,4,0,1,1
240,3,1,6.64,0,0,0.00823,17,0,3,3,0,0,1
241,3,1,16.43,0,0,0.14295,13,0,5,5,0,0,1
242,3,1,6.67,0,0,0.01952,17,0,1,1,0,1,0
243,3,1,11.57,0,1,0.16052,16,0,5,3,0,0,1
244,3,1,7.63,0,0,0.02747,14,0,3,3,0,0,1
245,3,1,10.36,0,0,0.02613,21,0,2,4,0,1,0
246,3,1,6.81,0,0,0.04154,19,0,4,4,0,1,1
247,3,1,7.57,0,0,0.01925,18,0,5,4,0,0,1
248,3,1,11.21,0,1,0.06230,19,0,3,2,0,0,1
249,3,1,10.13,0,0,0.05333,17,0,4,2,0,0,1
250,3,1,8.91,0,0,0.02626,15,0,4,4,0,0,1
251,3,1,6.42,0,0,0.01166,17,0,2,4,0,1,0
252,3,1,6.35,0,0,0.02116,17,0,5,5,0,0,1
253,3,1,6.35,0,0,0.03343,22,0,2,1,0,1,1
254,3,1,6.07,0,1,0.02714,14,0,4,5,0,0,1
255,3,1,5.77,0,0,0.01855,21,0,1,2,0,1,0
256,3,1,5.76,0,0,0.01182,21,0,3,1,0,1,0
257,3,1,5.74,0,0,0.02914,14,0,4,4,0,0,1
258,3,1,5.62,0,0,0.24769,18,0,2,1,0,0,1
259,3,1,5.45,0,0,0.01222,21,0,1,3,0,1,0
260,3,1,5.29,0,1,0.03420,18,0,3,2,0,0,1
261,3,1,5.25,0,0,0.08930,20,0,3,1,0,0,1
262,3,1,4.85,0,0,0.00594,15,0,4,4,0,0,1
263,3,1,4.78,0,0,0.00881,17,0,2,1,0,1,0
264,3,1,4.63,0,0,0.11496,17,0,3,4,0,0,1
265,3,1,4.58,0,1,0.06531,17,0,4,3,0,0,1
266,3,1,4.36,0,0,0.00881,20,0,3,4,0,1,0
267,3,1,4.24,0,0,0.01849,16,0,5,3,0,0,1
268,3,1,4.02,0,1,0.00970,21,0,2,3,0,1,0
269,3,1,4.01,0,0,0.00746,17,0,1,1,0,1,0
270,3,1,3.95,0,0,0.00834,16,0,4,1,0,0,1
271,3,1,3.87,0,0,0.02495,18,0,3,3,0,0,1
272,3,1,3.78,0,0,0.03662,20,0,3,1,0,0,1
273,3,1,3.77,0,1,0.02348,18,0,1,3,0,1,0
274,3,1,3.75,0,0,0.01704,21,0,4,3,0,0,1
275,3,1,3.73,0,0,0.00990,21,0,1,2,0,1,0
276,3,1,3.67,0,0,0.00485,17,0,4,3,0,0,1
277,3,1,3.59,0,0,0.00516,14,0,1,2,0,1,0
278,3,1,3.58,0,0,0.03874,17,0,1,1,0,0,1
279,3,1,3.45,0,0,0.00320,21,0,2,3,0,1,0
280,3,1,3.41,0,1,0.01681,15,0,4,2,0,0,1
281,3,1,3.40,0,0,0.00789,16,0,4,1,0,0,1
282,3,1,3.14,0,1,0.00576,18,0,4,3,0,0,1
283,3,1,3.05,0,0,0.01987,22,0,1,1,0,1,0
284,3,1,3.01,0,0,0.00894,18,0,3,1,0,0,1
