Variable ,obs,Mean,Std. Dev.,Max,Min
vote,215,17.22563,23.85166,147.36,0.23
debut,215,0.2186,0.41426,1,0
center,215,0.1814,0.38624,1,0
search,215,3.22654,7.30631,48.97586,0.00175
age,215,19.34884,3.17617,29,14
beauty,215,0.16744,0.37424,1,0
skill1,215,3.08837,1.38301,5,1
skill2,215,3.28837,1.51953,5,1
first_rank,215,0.17674,0.38234,1,0
reputation,215,0.22791,0.42046,1,0
